Metodo_Agregacao;Data;Versao_Dataset;Nome_Aeroporto;Proporção_Viagem;Cidade;Estado;Pais
Daily;2020-04-03;10;Kingsford Smith;64;Sydney;New South Wales;Australia
Daily;2020-04-13;10;Kingsford Smith;29;Sydney;New South Wales;Australia
Daily;2020-07-10;10;Kingsford Smith;54;Sydney;New South Wales;Australia
Daily;2020-09-02;10;Kingsford Smith;18;Sydney;New South Wales;Australia
Daily;2020-10-31;10;Kingsford Smith;22;Sydney;New South Wales;Australia
Daily;2020-04-14;10;Kingsford Smith;59;Sydney;New South Wales;Australia
Daily;2020-05-14;10;Kingsford Smith;59;Sydney;New South Wales;Australia
Daily;2020-07-04;10;Kingsford Smith;48;Sydney;New South Wales;Australia
Daily;2020-08-05;10;Kingsford Smith;20;Sydney;New South Wales;Australia
Daily;2020-11-20;10;Kingsford Smith;27;Sydney;New South Wales;Australia
Daily;2020-06-21;10;Kingsford Smith;46;Sydney;New South Wales;Australia
Daily;2020-08-10;10;Kingsford Smith;19;Sydney;New South Wales;Australia
Daily;2020-10-01;10;Kingsford Smith;19;Sydney;New South Wales;Australia
Daily;2020-10-21;10;Kingsford Smith;20;Sydney;New South Wales;Australia
Daily;2020-11-05;10;Kingsford Smith;16;Sydney;New South Wales;Australia
Daily;2020-11-10;10;Kingsford Smith;27;Sydney;New South Wales;Australia
Daily;2020-11-17;10;Kingsford Smith;22;Sydney;New South Wales;Australia
Daily;2020-11-28;10;Kingsford Smith;46;Sydney;New South Wales;Australia
Daily;2020-03-30;10;Kingsford Smith;75;Sydney;New South Wales;Australia
Daily;2020-04-01;10;Kingsford Smith;69;Sydney;New South Wales;Australia
Daily;2020-07-02;10;Kingsford Smith;56;Sydney;New South Wales;Australia
Daily;2020-07-05;10;Kingsford Smith;52;Sydney;New South Wales;Australia
Daily;2020-07-17;10;Kingsford Smith;51;Sydney;New South Wales;Australia
Daily;2020-04-22;10;Kingsford Smith;60;Sydney;New South Wales;Australia
Daily;2020-05-08;10;Kingsford Smith;56;Sydney;New South Wales;Australia
Daily;2020-05-30;10;Kingsford Smith;30;Sydney;New South Wales;Australia
Daily;2020-07-19;10;Kingsford Smith;52;Sydney;New South Wales;Australia
